,N,beta,effectiveBeta,effectiveBetaPct,graph_m,meanDegree,p,rep
0,20000,0.155,0.15665934472075366,1.010705449811314,6,11.9964,1.0,0
1,20000,0.155,0.15253110183771024,0.9840716247594209,6,11.9964,0.5,0
2,20000,0.155,0.1413513163079227,0.9119439761801464,6,11.9964,0.25,0
3,20000,0.155,0.13889185611702656,0.8960764910775907,6,11.9964,0.1,0
4,20000,0.155,0.14759956659741127,0.9522552683703953,6,11.9964,0.05,0
5,20000,0.155,0.1387310031363458,0.8950387299119084,6,11.9964,0.01,0
6,20000,0.155,0.14725329205218485,0.9500212390463538,6,11.9964,0.005,0
7,20000,0.155,0.14930089499604485,0.9632315806196442,6,11.9964,0.001,0
8,20000,0.155,0.1513159451043418,0.9762319038989793,6,11.9964,0.0,0
9,20000,0.155,0.15551110742010302,1.0032974672264712,5,9.9975,1.0,0
10,20000,0.155,0.14637176542126998,0.9443339704598063,5,9.9975,0.5,0
11,20000,0.155,0.15120470055045326,0.9755141970996984,5,9.9975,0.25,0
12,20000,0.155,0.1363706962332538,0.879810943440347,5,9.9975,0.1,0
13,20000,0.155,0.1478673393740601,0.9539828346713555,5,9.9975,0.05,0
14,20000,0.155,0.13738973952421285,0.8863854162852443,5,9.9975,0.01,0
15,20000,0.155,0.13280620677412996,0.8568142372524514,5,9.9975,0.005,0
16,20000,0.155,0.13505790693264136,0.8713413350492991,5,9.9975,0.001,0
17,20000,0.155,0.14655453715568148,0.9455131429398805,5,9.9975,0.0,0
18,20000,0.155,0.1658965141335646,1.0703000911842877,4,7.9984,1.0,0
19,20000,0.155,0.15689653615913968,1.01223571715574,4,7.9984,0.5,0
20,20000,0.155,0.14463094131110055,0.9331028471683906,4,7.9984,0.25,0
21,20000,0.155,0.1303447002023594,0.8409335496926412,4,7.9984,0.1,0
22,20000,0.155,0.13927225526444434,0.8985306791254474,4,7.9984,0.05,0
23,20000,0.155,0.1271542439854465,0.820349961196429,4,7.9984,0.01,0
24,20000,0.155,0.12281477745985972,0.7923534029668369,4,7.9984,0.005,0
25,20000,0.155,0.13203358357319578,0.8518295714399727,4,7.9984,0.001,0
26,20000,0.155,0.12396947524976512,0.799803066127517,4,7.9984,0.0,0
27,20000,0.155,0.1474215036782011,0.9511064753432328,3,5.9991,1.0,0
28,20000,0.155,0.15340642778469038,0.9897188889334864,3,5.9991,0.5,0
29,20000,0.155,0.13882565732961605,0.8956494021265552,3,5.9991,0.25,0
30,20000,0.155,0.1323940056852086,0.8541548753884426,3,5.9991,0.1,0
31,20000,0.155,0.12414324144275829,0.8009241383403761,3,5.9991,0.05,0
32,20000,0.155,0.11606571366386953,0.7488110558959324,3,5.9991,0.01,0
33,20000,0.155,0.10816273237439779,0.6978240798348244,3,5.9991,0.005,0
34,20000,0.155,0.11043709701206893,0.712497400077864,3,5.9991,0.001,0
35,20000,0.155,0.10328242998318225,0.6663382579560145,3,5.9991,0.0,0
36,20000,0.155,0.15371061060241345,0.9916813587252481,2,3.9996,1.0,0
37,20000,0.155,0.13705025751756875,0.8841952097907662,2,3.9996,0.5,0
38,20000,0.155,0.12286674476621506,0.792688675911065,2,3.9996,0.25,0
39,20000,0.155,0.11939741853420245,0.7703059260271126,2,3.9996,0.1,0
40,20000,0.155,0.10945856525083039,0.7061842919408412,2,3.9996,0.05,0
41,20000,0.155,0.1287155016663188,0.830422591395605,2,3.9996,0.01,0
42,20000,0.155,0.10333939378345373,0.6667057663448628,2,3.9996,0.005,0
43,20000,0.155,0.10134796529978514,0.6538578406437751,2,3.9996,0.001,0
44,20000,0.155,0.12046402873064593,0.7771872821331995,2,3.9996,0.0,0
45,20000,0.155,0.16129701220077539,1.0406258851662928,1,1.9999,1.0,0
46,20000,0.155,0.1382541653713217,0.8919623572343336,1,1.9999,0.5,0
47,20000,0.155,0.10633011486836459,0.6860007410862232,1,1.9999,0.25,0
48,20000,0.155,0.11831838944171318,0.7633444480110527,1,1.9999,0.1,0
49,20000,0.155,0.10594711550172974,0.6835297774305145,1,1.9999,0.05,0
50,20000,0.155,0.07783283810453129,0.5021473426098793,1,1.9999,0.01,0
51,20000,0.155,0.10633207286256482,0.6860133733068698,1,1.9999,0.005,0
52,20000,0.155,0.11128319616588599,0.7179561042960386,1,1.9999,0.001,0
53,20000,0.155,0.1329313684936149,0.8576217322168703,1,1.9999,0.0,0
54,20000,0.155,0.16252475616945294,1.0485468139964707,6,11.9964,1.0,1
55,20000,0.155,0.15198716303585938,0.9805623421668347,6,11.9964,0.5,1
56,20000,0.155,0.1458311438474578,0.9408460893384374,6,11.9964,0.25,1
57,20000,0.155,0.13691416062749592,0.8833171653386834,6,11.9964,0.1,1
58,20000,0.155,0.14853866819254025,0.9583139883389693,6,11.9964,0.05,1
59,20000,0.155,0.14846212562320268,0.957820165310985,6,11.9964,0.01,1
60,20000,0.155,0.13543706111317988,0.8737874910527734,6,11.9964,0.005,1
61,20000,0.155,0.14107788881754008,0.9101799278550973,6,11.9964,0.001,1
62,20000,0.155,0.13895089906485067,0.8964574133216172,6,11.9964,0.0,1
63,20000,0.155,0.16548161293951336,1.067623309287183,5,9.9975,1.0,1
64,20000,0.155,0.15860331763629107,1.0232472105567165,5,9.9975,0.5,1
65,20000,0.155,0.14901522834519462,0.9613885699689976,5,9.9975,0.25,1
66,20000,0.155,0.1406012283822321,0.9071046992402071,5,9.9975,0.1,1
67,20000,0.155,0.13339466970710928,0.8606107723039309,5,9.9975,0.05,1
68,20000,0.155,0.14198821514958948,0.9160530009650935,5,9.9975,0.01,1
69,20000,0.155,0.12483103615457461,0.8053615235779007,5,9.9975,0.005,1
70,20000,0.155,0.1268265933284851,0.8182360859902263,5,9.9975,0.001,1
71,20000,0.155,0.14582672474340364,0.9408175789897009,5,9.9975,0.0,1
72,20000,0.155,0.16070488197247423,1.0368056901449951,4,7.9984,1.0,1
73,20000,0.155,0.15112233955786442,0.9749828358571898,4,7.9984,0.5,1
74,20000,0.155,0.14633711089973528,0.9441103929015179,4,7.9984,0.25,1
75,20000,0.155,0.12755737448167537,0.8229508031075831,4,7.9984,0.1,1
76,20000,0.155,0.13244273609119303,0.8544692651044712,4,7.9984,0.05,1
77,20000,0.155,0.12342770273335966,0.7963077595700624,4,7.9984,0.01,1
