,N,beta,effectiveBeta,effectiveBetaPct,graph_scale,meanDegree,p,rep
249,10000,0.15,0.12936407463909946,0.8624271642606631,100,12.8946,0.0,4
250,10000,0.15,0.15882178778590747,1.0588119185727165,80,12.3846,1.0,4
251,10000,0.15,0.14629181812903339,0.9752787875268892,80,12.3846,0.75,4
252,10000,0.15,0.15563173709275505,1.0375449139517003,80,12.3846,0.5,4
253,10000,0.15,0.15977289994361357,1.065152666290757,80,12.3846,0.25,4
254,10000,0.15,0.1382909651924508,0.921939767949672,80,12.3846,0.1,4
255,10000,0.15,0.13363336620072502,0.8908891080048336,80,12.3846,0.05,4
256,10000,0.15,0.1366648440238831,0.9110989601592206,80,12.3846,0.01,4
257,10000,0.15,0.12204552437098276,0.8136368291398851,80,12.3846,0.005,4
258,10000,0.15,0.12397443642321782,0.8264962428214522,80,12.3846,0.001,4
259,10000,0.15,0.14104051394906122,0.9402700929937415,80,12.3846,0.0,4
260,10000,0.15,0.15460880765162702,1.0307253843441802,50,10.5692,1.0,4
261,10000,0.15,0.15934858433482568,1.0623238955655046,50,10.5692,0.75,4
262,10000,0.15,0.1465835369133878,0.9772235794225853,50,10.5692,0.5,4
263,10000,0.15,0.14038476989538332,0.9358984659692221,50,10.5692,0.25,4
264,10000,0.15,0.14289450119405023,0.9526300079603349,50,10.5692,0.1,4
265,10000,0.15,0.13282113574661394,0.8854742383107597,50,10.5692,0.05,4
266,10000,0.15,0.13257913687938105,0.8838609125292071,50,10.5692,0.01,4
267,10000,0.15,0.12982310794376525,0.8654873862917684,50,10.5692,0.005,4
268,10000,0.15,0.1359441027328713,0.906294018219142,50,10.5692,0.001,4
269,10000,0.15,0.12630142884999118,0.8420095256666079,50,10.5692,0.0,4
270,10000,0.15,0.15286242919964996,1.0190828613309997,30,8.3416,1.0,4
271,10000,0.15,0.14577116489429495,0.9718077659619664,30,8.3416,0.75,4
272,10000,0.15,0.14426675612106452,0.9617783741404301,30,8.3416,0.5,4
273,10000,0.15,0.13642571035483486,0.9095047356988991,30,8.3416,0.25,4
274,10000,0.15,0.12789841583159636,0.8526561055439758,30,8.3416,0.1,4
275,10000,0.15,0.11969410236188809,0.7979606824125872,30,8.3416,0.05,4
276,10000,0.15,0.13672772497804941,0.9115181665203295,30,8.3416,0.01,4
277,10000,0.15,0.11938456073572619,0.7958970715715079,30,8.3416,0.005,4
278,10000,0.15,0.12844799785172561,0.8563199856781708,30,8.3416,0.001,4
279,10000,0.15,0.1259963440694326,0.8399756271295508,30,8.3416,0.0,4
280,10000,0.15,0.15915833105225122,1.0610555403483415,10,4.1922,1.0,4
281,10000,0.15,0.1426476154299384,0.950984102866256,10,4.1922,0.75,4
282,10000,0.15,0.12575866811812053,0.8383911207874702,10,4.1922,0.5,4
283,10000,0.15,0.12006612666856228,0.800440844457082,10,4.1922,0.25,4
284,10000,0.15,0.11270906576966981,0.7513937717977988,10,4.1922,0.1,4
285,10000,0.15,0.10279268417236281,0.6852845611490854,10,4.1922,0.05,4
286,10000,0.15,0.1063975187198329,0.7093167914655527,10,4.1922,0.01,4
287,10000,0.15,0.09494543916927434,0.632969594461829,10,4.1922,0.005,4
288,10000,0.15,0.10912750894407823,0.7275167262938549,10,4.1922,0.001,4
289,10000,0.15,0.10725278957934076,0.7150185971956051,10,4.1922,0.0,4
290,10000,0.15,0.1609419927845033,1.0729466185633554,5,2.1296,1.0,4
291,10000,0.15,0.13811361885399687,0.9207574590266459,5,2.1296,0.75,4
292,10000,0.15,0.12016962335274294,0.8011308223516196,5,2.1296,0.5,4
293,10000,0.15,0.09936393245995197,0.6624262163996798,5,2.1296,0.25,4
294,10000,0.15,0.09063801382632788,0.6042534255088526,5,2.1296,0.1,4
295,10000,0.15,0.08675613372099211,0.5783742248066142,5,2.1296,0.05,4
296,10000,0.15,0.09982719614850422,0.6655146409900281,5,2.1296,0.01,4
297,10000,0.15,0.08191714588382029,0.5461143058921353,5,2.1296,0.005,4
298,10000,0.15,0.10246256132698096,0.6830837421798731,5,2.1296,0.001,4
299,10000,0.15,0.08843059939022174,0.589537329268145,5,2.1296,0.0,4
300,10000,0.15,0.15618475406638524,1.0412316937759016,100,12.817,1.0,5
301,10000,0.15,0.16074184151239387,1.0716122767492926,100,12.817,0.75,5
302,10000,0.15,0.15147928251488932,1.0098618834325954,100,12.817,0.5,5
303,10000,0.15,0.1445586676930851,0.9637244512872339,100,12.817,0.25,5
304,10000,0.15,0.13931409530080327,0.9287606353386885,100,12.817,0.1,5
305,10000,0.15,0.14877321034659902,0.9918214023106602,100,12.817,0.05,5
306,10000,0.15,0.12610862386003077,0.8407241590668718,100,12.817,0.01,5
307,10000,0.15,0.1440627929785598,0.9604186198570654,100,12.817,0.005,5
308,10000,0.15,0.1251889427072592,0.834592951381728,100,12.817,0.001,5
309,10000,0.15,0.13063475488706797,0.8708983659137864,100,12.817,0.0,5
310,10000,0.15,0.14965027423161847,0.9976684948774566,80,12.1794,1.0,5
311,10000,0.15,0.1481223787547879,0.9874825250319194,80,12.1794,0.75,5
312,10000,0.15,0.14520250678071325,0.9680167118714217,80,12.1794,0.5,5
313,10000,0.15,0.1508966428866485,1.0059776192443235,80,12.1794,0.25,5
314,10000,0.15,0.13660385163440542,0.9106923442293695,80,12.1794,0.1,5
315,10000,0.15,0.15039764872259995,1.0026509914839996,80,12.1794,0.05,5
316,10000,0.15,0.14135858927392295,0.9423905951594863,80,12.1794,0.01,5
317,10000,0.15,0.14315050887758266,0.9543367258505511,80,12.1794,0.005,5
318,10000,0.15,0.14147244216114513,0.9431496144076342,80,12.1794,0.001,5
319,10000,0.15,0.13362990641767175,0.8908660427844783,80,12.1794,0.0,5
320,10000,0.15,0.15379905490951581,1.0253270327301054,50,10.568,1.0,5
321,10000,0.15,0.1583722123828833,1.055814749219222,50,10.568,0.75,5
322,10000,0.15,0.14404380364683755,0.9602920243122504,50,10.568,0.5,5
323,10000,0.15,0.1497581510709382,0.9983876738062547,50,10.568,0.25,5
324,10000,0.15,0.13152142867859698,0.8768095245239799,50,10.568,0.1,5
325,10000,0.15,0.1288683864484945,0.8591225763232967,50,10.568,0.05,5
326,10000,0.15,0.13318740471511348,0.8879160314340899,50,10.568,0.01,5
327,10000,0.15,0.13604960470662464,0.9069973647108309,50,10.568,0.005,5
328,10000,0.15,0.12485888689873764,0.8323925793249176,50,10.568,0.001,5
329,10000,0.15,0.12628039062800875,0.8418692708533917,50,10.568,0.0,5
330,10000,0.15,0.15296841067021114,1.0197894044680742,30,8.5128,1.0,5
331,10000,0.15,0.1558872875788872,1.039248583859248,30,8.5128,0.75,5
332,10000,0.15,0.1493634946697648,0.9957566311317655,30,8.5128,0.5,5
333,10000,0.15,0.1231503926749245,0.82100261783283,30,8.5128,0.25,5
334,10000,0.15,0.1296332972006412,0.8642219813376081,30,8.5128,0.1,5
335,10000,0.15,0.13349658241436035,0.8899772160957358,30,8.5128,0.05,5
336,10000,0.15,0.11964765697857033,0.7976510465238023,30,8.5128,0.01,5
337,10000,0.15,0.11953944322627992,0.7969296215085329,30,8.5128,0.005,5
338,10000,0.15,0.1273736589963127,0.8491577266420847,30,8.5128,0.001,5
339,10000,0.15,0.11703448332020494,0.7802298888013663,30,8.5128,0.0,5
340,10000,0.15,0.15752452432909123,1.050163495527275,10,4.141,1.0,5
341,10000,0.15,0.15254584220918244,1.0169722813945496,10,4.141,0.75,5
342,10000,0.15,0.1353760926397343,0.9025072842648953,10,4.141,0.5,5
343,10000,0.15,0.11784726038773967,0.7856484025849312,10,4.141,0.25,5
344,10000,0.15,0.12649786107571803,0.8433190738381202,10,4.141,0.1,5
345,10000,0.15,0.10702671537930362,0.7135114358620241,10,4.141,0.05,5
346,10000,0.15,0.11337007010067147,0.7558004673378098,10,4.141,0.01,5
347,10000,0.15,0.1128727563915157,0.7524850426101047,10,4.141,0.005,5
348,10000,0.15,0.1046897942700988,0.6979319618006586,10,4.141,0.001,5
349,10000,0.15,0.10243964531600858,0.6829309687733905,10,4.141,0.0,5
350,10000,0.15,0.15985673490989769,1.0657115660659846,5,2.1244,1.0,5
